"","weeks","delta","group","emp_rate_diff"
"338",130,-0.0310471643565721,0,0.0170733005030949
"339",131,-0.0385214102036159,0,0.0194853180256928
"340",132,-0.0415934611565197,0,0.0217850112028755
"341",133,-0.0485115643841396,0,0.0239487328040294
"342",134,-0.0402645668132393,0,0.0276436125874209
"343",135,-0.0314552649830688,0,0.026458295152909
"344",136,-0.0461858483658391,0,0.023387111076954
"345",137,-0.0517694830713222,0,0.026632693478685
"346",138,-0.030967331700814,0,0.0274810378769517
"347",139,-0.0328999718980639,0,0.0270080932646775
"348",140,-0.0403145535815651,0,0.026827783131248
"349",141,-0.0284451105773321,0,0.0243330003015022
"350",142,-0.0267603850050658,0,0.0223200297955105
"351",143,-0.03418483763241,0,0.024386206570383
"352",144,-0.0287180159961017,0,0.0201503963867032
"353",145,-0.0296672552191507,0,0.0239960272652568
"354",146,-0.0489102437592669,0,0.0207208858252588
"355",147,-0.0329818929786181,0,0.0194971416409996
"356",148,-0.0409953245094707,0,0.0182733974567404
"357",149,-0.0267103858729113,0,0.0202479412129847
"358",150,-0.0404139128486614,0,0.0221781464118282
"359",151,-0.0297716326222658,0,0.0228166216383984
"360",152,-0.0373762291924864,0,0.0264376038261219
"361",153,-0.0299851782821611,0,0.0279244234509586
"362",154,-0.0301892897589388,0,0.0300438064947118
"363",155,-0.0295445678537423,0,0.0286693112152903
"364",156,-0.0213881956715545,0,0.032597707400992
"365",157,-0.0269750329991293,0,0.0343564701778863
"366",158,-0.0226766977321551,0,0.0328105324765153
"367",159,-0.0283203840052068,0,0.0337712012201971
"368",160,-0.0123967226008989,0,0.0307384438939894
"369",161,-0.0284530900967982,0,0.0310990641608484
"370",162,-0.0605472941225274,0,0.0309128422197655
"371",163,-0.0469509377327374,0,0.0291865943849652
"372",164,-0.0341567271811543,0,0.0324321767866961
"373",165,-0.0318349064149736,0,0.0269194161498763
"374",166,-0.0359665621734587,0,0.0268218713235946
"375",167,-0.0276519554953685,0,0.0264996778064829
"376",168,-0.0321284435865941,0,0.0306911494327621
"377",169,-0.0370929668883908,0,0.0294526257293692
"378",170,-0.0278893469406499,0,0.0295206115173837
"379",171,-0.0416345607275942,0,0.0293255218648206
"380",172,-0.0360439363561678,0,0.0298960113033763
"381",173,-0.0347883465032922,0,0.0307680029322566
"382",174,-0.0365338659771118,0,0.0323671469025084
"383",175,-0.0540814961085554,0,0.0319385408476349
"384",176,-0.0406308623298034,0,0.0361979982619285
"385",177,-0.0524492658388107,0,0.0390149746087861
"386",178,-0.0469848316685164,0,0.0379419815196893
"387",179,-0.0306890476394481,0,0.0345101771768753
"388",180,-0.02366409678217,0,0.034915136001135
"389",181,-0.0291880555903343,0,0.0349387832317487
"390",182,-0.039997074261685,0,0.0357723481108818
"391",183,-0.0488364685140281,0,0.0364492500871992
"392",184,-0.0441310315739624,0,0.0408358113660414
"393",185,-0.0397464966515119,0,0.0421423208574486
"394",186,-0.0499442048436227,0,0.0403333077155001
"395",187,-0.0360521590228896,0,0.0367743995081377
"396",188,-0.00817641517114642,0,0.0357989512453223
"397",189,-0.029423709222683,0,0.0343860292161534
"398",190,-0.0369550561797753,0,0.0344687945233014
"399",191,-0.0353222482043856,0,0.0328016647650352
"400",192,-0.0507635002047702,0,0.0352136822876331
"401",193,-0.0244436084698638,0,0.0335849792791141
"402",194,-0.0423604200045642,0,0.0316695535994042
"403",195,-0.0551520843833518,0,0.0319030700017144
"404",196,-0.062983293864185,0,0.0317227598682849
"405",197,-0.0356609044137142,0,0.030454677126625
"406",198,-0.0321263806315089,0,0.032813488380342
"407",199,-0.0210853102680976,0,0.0352166381914598
"408",200,-0.0170874302418283,0,0.0309808280077799
"409",201,-0.0219675749087515,0,0.0339928940072005
"410",202,-0.0188559860738944,0,0.0351575201149256
"411",203,-0.0245409654081229,0,0.0359171873983908
"412",204,-0.0387903568703514,0,0.0366000011823615
"413",205,-0.0307359307359307,0,0.0360886298203401
"414",206,-0.0349150980650257,0,0.0394760956057534
"415",207,-0.0267443702192284,0,0.041211211152034
"416",208,-0.00440355807492454,0,0.0365556626249608
